color_string,delta_t_seconds,r,g,b
turquoise,20.200985,23.0,226.0,226.0
turquoise blue,22.542774,60.0,200.0,214.0
violet,15.376756,131.0,17.0,200.0
violet red,23.485896,214.0,12.0,116.0
violet-red,26.301464,175.0,19.5,87.0
wheat,18.112884,224.0,201.0,104.0
white,19.9154145,255.0,255.0,255.0
whiteish colorless,33.802301,244.0,244.0,241.0
yellow,19.796456,247.5,242.5,16.0
yellow green,24.192705,204.0,242.0,35.0
yellow-green,22.199851,190.0,232.0,47.0
yellow-orange,24.8511,243.0,185.0,17.0
yellow-red,27.596799,231.0,124.0,24.0
yellowish,24.19914,234.0,229.0,96.5
yellowish green,26.633797,174.0,232.0,62.0
yellowish white,25.710559,247.0,248.0,218.0
yellowish yellow,22.179765,248.0,235.0,90.0
