name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
YARYIZ_clean,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0
SABVOH01_clean,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0
acscombsci.5b00188_8372_clean,0.0,0.0,0.0,2.0,2.0,-1.4329,40.0165,-0.7222222222222222,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.4329,40.0165,-0.7222222222222222,1.0,2.0,6.0
WUNVAD_clean,0.0,0.0,0.0,0.0,0.0,5.031100000000003,117.49839999999998,-0.96,5.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,5.031100000000003,117.49839999999998,-0.96,5.0,0.0,29.0
SIVGUB_clean,0.0,0.0,0.0,5.0,5.0,-3.3379000000000008,113.485,-0.9615384615384616,3.0,5.0,18.0,0.0,0.0,0.0,5.0,5.0,-3.3379000000000008,113.485,-0.9615384615384616,3.0,5.0,18.0
BEPREV_clean,0.0,0.0,0.0,2.0,2.0,2.2046,108.374,-0.9615384615384616,4.0,2.0,24.0,0.0,0.0,0.0,2.0,2.0,2.2046,108.374,-0.9615384615384616,4.0,2.0,24.0
GOZNEQ_clean,0.0,0.0,0.0,0.0,0.0,0.7901899999999998,28.837500000000006,-0.4444444444444444,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7901899999999998,28.837500000000006,-0.4444444444444444,1.0,0.0,6.0
NIWZIE11_clean,0.0,0.0,0.0,1.0,1.0,-0.998,7.139499999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.998,7.139499999999999,0.0,0.0,1.0,0.0
FUTZAX_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
NIGHOA_charged,0.0,0.0,0.0,0.0,0.0,-0.5755000000000002,49.997,-0.75,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.5755000000000002,49.997,-0.75,1.0,0.0,5.0
