color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
reddish brown,#b44547,2020-02-10 16:57:34.000000,2020-02-10 16:58:18.651716,0 days 00:00:44.651716000,44.651716,180,69,71,reddish brown
blackish purple,#2f154f,2020-02-10 16:58:18.000000,2020-02-10 16:58:40.916945,0 days 00:00:22.916945000,22.916945,47,21,79,blackish purple
light-purple,#b6548b,2020-02-10 16:58:40.000000,2020-02-10 16:59:00.146500,0 days 00:00:20.146500000,20.1465,182,84,139,light purple
aquamarine,#26ba9c,2020-02-10 17:01:18.000000,2020-02-10 17:02:05.103327,0 days 00:00:47.103327000,47.103327,38,186,156,aquamarine
dark turquiose,#0d859e,2020-02-10 17:02:05.000000,2020-02-10 17:02:24.895733,0 days 00:00:19.895733000,19.895733,13,133,158,dark turquiose
,#5d0945,,2020-02-10 17:02:46.581088,,,93,9,69,nan
yellowish green,#5d0945,2020-02-10 17:02:46.000000,2020-02-10 17:02:49.045537,0 days 00:00:03.045537000,3.045537,93,9,69,yellowish green
yellow,#5d0945,2020-02-10 17:02:49.000000,2020-02-10 17:02:52.365112,0 days 00:00:03.365112000,3.365112,93,9,69,yellow
violet,#5d0945,2020-02-10 17:02:52.000000,2020-02-10 17:02:54.773612,0 days 00:00:02.773612000,2.773612,93,9,69,violet
deep red,#bd0406,2020-02-10 17:03:12.000000,2020-02-10 17:03:40.265100,0 days 00:00:28.265100000,28.2651,189,4,6,deep red
black purple,#1c004d,2020-02-10 17:03:40.000000,2020-02-10 17:03:52.617933,0 days 00:00:12.617933000,12.617933,28,0,77,black purple
dark purple,#360444,2020-02-10 17:03:52.000000,2020-02-10 17:04:09.946498,0 days 00:00:17.946498000,17.946498,54,4,68,dark purple
dark-red,#5b0101,2020-02-10 17:04:09.000000,2020-02-10 17:04:19.862034,0 days 00:00:10.862034000,10.862034,91,1,1,dark red
translucent,#deebfc,2020-02-10 17:04:19.000000,2020-02-10 17:04:39.096851,0 days 00:00:20.096851000,20.096851,222,235,252,translucent
violet-red,#a41143,2020-02-10 17:11:24.000000,2020-02-10 17:12:35.624202,0 days 00:01:11.624202000,71.624202,164,17,67,violet red
dark green,#1b431e,2020-02-10 17:12:35.000000,2020-02-10 17:12:45.227562,0 days 00:00:10.227562000,10.227562,27,67,30,dark green
light-purple,#e5cefa,2020-02-10 17:12:45.000000,2020-02-10 17:12:54.393826,0 days 00:00:09.393826000,9.393826,229,206,250,light purple
crimson,#901218,2020-02-10 17:12:54.000000,2020-02-10 17:13:21.000038,0 days 00:00:27.000038000,27.000038,144,18,24,crimson
deep blue,#0100ff,2020-02-10 17:17:05.000000,2020-02-10 17:17:19.625585,0 days 00:00:14.625585000,14.625585,1,0,255,deep blue
red/purple,#902c41,2020-02-10 17:13:21.000000,2020-02-10 17:17:20.377541,0 days 00:03:59.377541000,239.377541,144,44,65,red/purple
yellow,#fafc01,2020-02-10 17:17:19.000000,2020-02-10 17:17:35.287778,0 days 00:00:16.287778000,16.287778,250,252,1,yellow
violet,#8305f3,2020-02-10 17:17:11.000000,2020-02-10 17:17:40.739513,0 days 00:00:29.739513000,29.739513,131,5,243,violet
dark brown,#773100,2020-02-10 17:17:35.000000,2020-02-10 17:18:11.549549,0 days 00:00:36.549549000,36.549549,119,49,0,dark brown
red-yellow,#234257,2020-02-10 17:17:27.000000,2020-02-10 17:18:13.449115,0 days 00:00:46.449115000,46.449115,35,66,87,red yellow
violet,#3f2045,2020-02-10 17:18:13.000000,2020-02-10 17:18:16.818079,0 days 00:00:03.818079000,3.818079,63,32,69,violet
black red,#8a0001,2020-02-10 17:17:40.000000,2020-02-10 17:18:17.943396,0 days 00:00:37.943396000,37.943396,138,0,1,black red
light red,#DBDB96,2020-02-10 17:18:16.000000,2020-02-10 17:18:18.517581,0 days 00:00:02.517581000,2.517581,219,219,150,light red
violet red,#191B9C,2020-02-10 17:18:18.000000,2020-02-10 17:18:19.875233,0 days 00:00:01.875233000,1.875233,25,27,156,violet red
aquamarine,#E5A8B5,2020-02-10 17:18:19.000000,2020-02-10 17:18:23.256342,0 days 00:00:04.256342000,4.256342,229,168,181,aquamarine
red purple,#a8073f,2020-02-10 17:18:11.000000,2020-02-10 17:18:26.063979,0 days 00:00:15.063979000,15.063979,168,7,63,red purple
cyan,#02fbfb,2020-02-10 17:18:26.000000,2020-02-10 17:18:34.088232,0 days 00:00:08.088232000,8.088232,2,251,251,cyan
colorless,#dfebdf,2020-02-10 17:18:17.000000,2020-02-10 17:18:51.737173,0 days 00:00:34.737173000,34.737173,223,235,223,colorless
black-brown,#3f1d03,2020-02-10 17:18:51.000000,2020-02-10 17:19:08.218948,0 days 00:00:17.218948000,17.218948,63,29,3,black brown
azure,#05a3c9,2020-02-10 17:19:08.000000,2020-02-10 17:19:35.175699,0 days 00:00:27.175699000,27.175699,5,163,201,azure
light-brown,#ab957c,2020-02-10 17:20:56.000000,2020-02-10 17:21:12.929144,0 days 00:00:16.929144000,16.929144,171,149,124,light brown
peach,#e59d08,2020-02-10 17:21:12.000000,2020-02-10 17:21:28.165445,0 days 00:00:16.165445000,16.165445,229,157,8,peach
azure,#4696ee,2020-02-10 17:21:28.000000,2020-02-10 17:21:38.415893,0 days 00:00:10.415893000,10.415893,70,150,238,azure
reddish,#771f06,2020-02-10 17:21:38.000000,2020-02-10 17:21:54.690331,0 days 00:00:16.690331000,16.690331,119,31,6,reddish
greenish-blue,#0aab71,2020-02-10 17:21:54.000000,2020-02-10 17:22:03.924856,0 days 00:00:09.924856000,9.924856,10,171,113,greenish blue
light purple,#e4b3f2,2020-02-10 17:27:13.000000,2020-02-10 17:27:57.988902,0 days 00:00:44.988902000,44.988902,228,179,242,light purple
brown yellow,#e4a552,2020-02-10 17:27:57.000000,2020-02-10 17:28:09.845563,0 days 00:00:12.845563000,12.845563,228,165,82,brown yellow
