color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
flavescens,#3cfd4e,2020-02-18 13:46:53.000000,2020-02-18 13:47:11.324942,0 days 00:00:18.324942000,18.324942,60,253,78,flavescens
green-blue,#39d9b4,2020-02-18 13:46:59.000000,2020-02-18 13:47:12.863560,0 days 00:00:13.863560000,13.86356,57,217,180,green blue
light purple,#9767b5,2020-02-18 13:47:03.000000,2020-02-18 13:47:12.925534,0 days 00:00:09.925534000,9.925534,151,103,181,light purple
translucent,#f1f1e6,2020-02-18 13:46:30.000000,2020-02-18 13:47:13.464686,0 days 00:00:43.464686000,43.464686,241,241,230,translucent
orange-yellow,#fcc416,2020-02-18 13:46:54.000000,2020-02-18 13:47:14.164821,0 days 00:00:20.164821000,20.164821,252,196,22,orange yellow
pink,#ec8fed,2020-02-18 13:47:02.000000,2020-02-18 13:47:16.368978,0 days 00:00:14.368978000,14.368978,236,143,237,pink
mauve,#bc8ad9,2020-02-18 13:46:36.000000,2020-02-18 13:47:16.463168,0 days 00:00:40.463168000,40.463168,188,138,217,mauve
light colorless,#3CD5D6,2020-02-18 13:47:09.000000,2020-02-18 13:47:20.221663,0 days 00:00:11.221663000,11.221663,60,213,214,light colorless
greenish cyan,#3ab09b,2020-02-18 13:46:26.000000,2020-02-18 13:47:20.420005,0 days 00:00:54.420005000,54.420005,58,176,155,greenish cyan
lilac,#8a64cc,2020-02-18 13:46:49.000000,2020-02-18 13:47:20.975598,0 days 00:00:31.975598000,31.975598,138,100,204,lilac
violet,#a600ff,2020-02-18 13:46:57.000000,2020-02-18 13:47:21.105954,0 days 00:00:24.105954000,24.105954,166,0,255,violet
peach,#f49d79,2020-02-18 13:46:20.000000,2020-02-18 13:47:21.985165,0 days 00:01:01.985165000,61.985165,244,157,121,peach
sky blue,#6fcdf9,2020-02-18 13:47:04.000000,2020-02-18 13:47:22.238087,0 days 00:00:18.238087000,18.238087,111,205,249,sky blue
cyan,#80f7f3,2020-02-18 13:47:04.000000,2020-02-18 13:47:24.561558,0 days 00:00:20.561558000,20.561558,128,247,243,cyan
claybank,#856407,2020-02-18 13:45:37.000000,2020-02-18 13:47:25.250133,0 days 00:01:48.250133000,108.250133,133,100,7,claybank
blue,#2016da,2020-02-18 13:44:47.000000,2020-02-18 13:47:25.375612,0 days 00:02:38.375612000,158.375612,32,22,218,blue
jasmine,#fdeca6,2020-02-18 13:47:06.000000,2020-02-18 13:47:27.244847,0 days 00:00:21.244847000,21.244847,253,236,166,jasmine
magenta,#fa0004,2020-02-18 13:47:16.000000,2020-02-18 13:47:27.926565,0 days 00:00:11.926565000,11.926565,250,0,4,magenta
yellowish green,#d4f26e,2020-02-18 13:46:54.000000,2020-02-18 13:47:28.736594,0 days 00:00:34.736594000,34.736594,212,242,110,yellowish green
mauve,#b845d5,2020-02-18 13:46:35.000000,2020-02-18 13:47:29.390053,0 days 00:00:54.390053000,54.390053,184,69,213,mauve
buff,#d29d02,2020-02-18 13:46:38.000000,2020-02-18 13:47:30.489263,0 days 00:00:52.489263000,52.489263,210,157,2,buff
cherry red,#a00104,2020-02-18 13:47:14.000000,2020-02-18 13:47:31.893176,0 days 00:00:17.893176000,17.893176,160,1,4,cherry red
cherry red,#b50b0b,2020-02-18 13:47:12.000000,2020-02-18 13:47:33.795534,0 days 00:00:21.795534000,21.795534,181,11,11,cherry red
pale purple,#7b03d6,2020-02-18 13:47:27.000000,2020-02-18 13:47:36.731339,0 days 00:00:09.731339000,9.731339,123,3,214,pale purple
yellowish white,#fcfcee,2020-02-18 13:47:20.000000,2020-02-18 13:47:36.849397,0 days 00:00:16.849397000,16.849397,252,252,238,yellowish white
dark purplish-red,#ae0835,2020-02-18 13:47:06.000000,2020-02-18 13:47:37.806968,0 days 00:00:31.806968000,31.806968,174,8,53,dark purplish red
violet red,#ff0044,2020-02-18 13:47:27.000000,2020-02-18 13:47:39.674594,0 days 00:00:12.674594000,12.674594,255,0,68,violet red
red-violet,#831443,2020-02-18 13:46:45.000000,2020-02-18 13:47:40.276476,0 days 00:00:55.276476000,55.276476,131,20,67,red violet
jonquil,#e8e0c9,2020-02-18 13:47:09.000000,2020-02-18 13:47:40.412927,0 days 00:00:31.412927000,31.412927,232,224,201,jonquil
black brown,#322b28,2020-02-18 13:47:08.000000,2020-02-18 13:47:40.512955,0 days 00:00:32.512955000,32.512955,50,43,40,black brown
translucent,#e8dbf7,2020-02-18 13:45:59.000000,2020-02-18 13:47:40.635083,0 days 00:01:41.635083000,101.635083,232,219,247,translucent
yellowish green,#d4f45b,2020-02-18 13:47:22.000000,2020-02-18 13:47:41.577151,0 days 00:00:19.577151000,19.577151,212,244,91,yellowish green
translucent,#FFCD12,2020-02-18 13:47:25.000000,2020-02-18 13:47:41.740524,0 days 00:00:16.740524000,16.740524,255,205,18,translucent
pale violet,#7d6adb,2020-02-18 13:47:20.000000,2020-02-18 13:47:42.821220,0 days 00:00:22.821220000,22.82122,125,106,219,pale violet
grass green,#29c527,2020-02-18 13:47:25.000000,2020-02-18 13:47:43.600708,0 days 00:00:18.600708000,18.600708,41,197,39,grass green
green,#6be50a,2020-02-18 13:47:31.000000,2020-02-18 13:47:47.172229,0 days 00:00:16.172229000,16.172229,107,229,10,green
black purple,#530189,2020-02-18 13:47:29.000000,2020-02-18 13:47:53.398503,0 days 00:00:24.398503000,24.398503,83,1,137,black purple
light red,#e15555,2020-02-18 13:47:40.000000,2020-02-18 13:47:56.169450,0 days 00:00:16.169450000,16.16945,225,85,85,light red
deep blue-black,#344177,2020-02-18 13:47:24.000000,2020-02-18 13:47:56.676829,0 days 00:00:32.676829000,32.676829,52,65,119,deep blue black
yellow-red,#c22f09,2020-02-18 13:47:10.000000,2020-02-18 13:47:56.945878,0 days 00:00:46.945878000,46.945878,194,47,9,yellow red
jonquil,#eead3d,2020-02-18 13:47:47.000000,2020-02-18 13:47:56.960495,0 days 00:00:09.960495000,9.960495,238,173,61,jonquil
red-black,#551a11,2020-02-18 13:47:41.000000,2020-02-18 13:47:58.095642,0 days 00:00:17.095642000,17.095642,85,26,17,red black
pale pink,#f2d4f1,2020-02-18 13:47:40.000000,2020-02-18 13:47:58.217883,0 days 00:00:18.217883000,18.217883,242,212,241,pale pink
green/brown,#647a46,2020-02-18 13:47:37.000000,2020-02-18 13:47:58.404409,0 days 00:00:21.404409000,21.404409,100,122,70,green/brown
light pink,#fcaaf5,2020-02-18 13:47:41.000000,2020-02-18 13:48:00.393354,0 days 00:00:19.393354000,19.393354,252,170,245,light pink
pale red,#f9705e,2020-02-18 13:47:40.000000,2020-02-18 13:48:03.075582,0 days 00:00:23.075582000,23.075582,249,112,94,pale red
dull dark black,#2d2d2e,2020-02-18 13:46:47.000000,2020-02-18 13:48:05.331787,0 days 00:01:18.331787000,78.331787,45,45,46,dull dark black
green/brown,#6c812b,2020-02-18 13:47:07.000000,2020-02-18 13:48:06.502107,0 days 00:00:59.502107000,59.502107,108,129,43,green/brown
dark-red,#951709,2020-02-18 13:47:58.000000,2020-02-18 13:48:09.031226,0 days 00:00:11.031226000,11.031226,149,23,9,dark red
cherry red,#ae055d,2020-02-18 13:47:56.000000,2020-02-18 13:48:10.575830,0 days 00:00:14.575830000,14.57583,174,5,93,cherry red
dark rose,#eb0bb8,2020-02-18 13:47:28.000000,2020-02-18 13:48:11.146194,0 days 00:00:43.146194000,43.146194,235,11,184,dark rose
mauve,#511685,2020-02-18 13:48:09.000000,2020-02-18 13:48:11.796347,0 days 00:00:02.796347000,2.796347,81,22,133,mauve
courless,#AE649E,2020-02-18 13:45:12.000000,2020-02-18 13:48:12.290158,0 days 00:03:00.290158000,180.290158,174,100,158,courless
jasmine,#f1b6f6,2020-02-18 13:47:58.000000,2020-02-18 13:48:15.129490,0 days 00:00:17.129490000,17.12949,241,182,246,jasmine
orange brown,#d5750c,2020-02-18 13:47:02.000000,2020-02-18 13:48:16.604802,0 days 00:01:14.604802000,74.604802,213,117,12,orange brown
dark violet,#210c3b,2020-02-18 13:47:58.000000,2020-02-18 13:48:16.991237,0 days 00:00:18.991237000,18.991237,33,12,59,dark violet
pale green,#77c283,2020-02-18 13:47:47.000000,2020-02-18 13:48:20.361446,0 days 00:00:33.361446000,33.361446,119,194,131,pale green
pink/purple,#bf7bbb,2020-02-18 13:47:28.000000,2020-02-18 13:48:21.241525,0 days 00:00:53.241525000,53.241525,191,123,187,pink/purple
intense violet,#8c45e4,2020-02-18 13:47:56.000000,2020-02-18 13:48:22.408282,0 days 00:00:26.408282000,26.408282,140,69,228,intense violet
pink-violet,#ffb3ea,2020-02-18 13:47:53.000000,2020-02-18 13:48:24.619680,0 days 00:00:31.619680000,31.61968,255,179,234,pink violet
yellowish white,#f7f7d5,2020-02-18 13:48:06.000000,2020-02-18 13:48:25.431443,0 days 00:00:19.431443000,19.431443,247,247,213,yellowish white
courless,#fdfdea,2020-02-18 13:47:21.000000,2020-02-18 13:48:26.361257,0 days 00:01:05.361257000,65.361257,253,253,234,courless
translucent,#fbfbf6,2020-02-18 13:48:16.000000,2020-02-18 13:48:30.344617,0 days 00:00:14.344617000,14.344617,251,251,246,translucent
dark violet,#631292,2020-02-18 13:48:07.000000,2020-02-18 13:48:31.287464,0 days 00:00:24.287464000,24.287464,99,18,146,dark violet
dark blue,#05033a,2020-02-18 13:48:00.000000,2020-02-18 13:48:31.819666,0 days 00:00:31.819666000,31.819666,5,3,58,dark blue
red-violet,#580735,2020-02-18 13:47:43.000000,2020-02-18 13:48:32.287983,0 days 00:00:49.287983000,49.287983,88,7,53,red violet
deep blue-black,#0b1168,2020-02-18 13:48:11.000000,2020-02-18 13:48:32.814151,0 days 00:00:21.814151000,21.814151,11,17,104,deep blue black
deep-blue,#050cc1,2020-02-18 13:47:51.000000,2020-02-18 13:48:32.985248,0 days 00:00:41.985248000,41.985248,5,12,193,deep blue
dark turquiose,#a2b1b8,2020-02-18 13:47:56.000000,2020-02-18 13:48:34.004173,0 days 00:00:38.004173000,38.004173,162,177,184,dark turquiose
dark turquiose,#a2b1b8,2020-02-18 13:47:56.000000,2020-02-18 13:48:34.053286,0 days 00:00:38.053286000,38.053286,162,177,184,dark turquiose
pink/purple,#f113db,2020-02-18 13:46:51.000000,2020-02-18 13:48:34.922484,0 days 00:01:43.922484000,103.922484,241,19,219,pink/purple
colorless,#b5b5b5,2020-02-18 13:48:25.000000,2020-02-18 13:48:38.315119,0 days 00:00:13.315119000,13.315119,181,181,181,colorless
pale straw,#eef3bf,2020-02-18 13:47:54.000000,2020-02-18 13:48:39.092609,0 days 00:00:45.092609000,45.092609,238,243,191,pale straw
light red,#db9797,2020-02-18 13:47:21.000000,2020-02-18 13:48:39.184251,0 days 00:01:18.184251000,78.184251,219,151,151,light red
yellowish,#fff59a,2020-02-18 13:48:16.000000,2020-02-18 13:48:40.172548,0 days 00:00:24.172548000,24.172548,255,245,154,yellowish
dark orange,#cc5904,2020-02-18 13:47:56.000000,2020-02-18 13:48:41.287788,0 days 00:00:45.287788000,45.287788,204,89,4,dark orange
greenish-yellow,#e0e40c,2020-02-18 13:48:03.000000,2020-02-18 13:48:43.016360,0 days 00:00:40.016360000,40.01636,224,228,12,greenish yellow
orange brown,#ce7e00,2020-02-18 13:48:24.000000,2020-02-18 13:48:43.160814,0 days 00:00:19.160814000,19.160814,206,126,0,orange brown
dark violet,#470063,2020-02-18 13:44:42.000000,2020-02-18 13:48:45.608664,0 days 00:04:03.608664000,243.608664,71,0,99,dark violet
dark red,#9c1b00,2020-02-18 13:48:20.000000,2020-02-18 13:48:46.204229,0 days 00:00:26.204229000,26.204229,156,27,0,dark red
green yellow,#cef525,2020-02-18 13:48:22.000000,2020-02-18 13:48:46.369846,0 days 00:00:24.369846000,24.369846,206,245,37,green yellow
dark-violet,#942b71,2020-02-18 13:48:39.000000,2020-02-18 13:48:49.494312,0 days 00:00:10.494312000,10.494312,148,43,113,dark violet
cherry red,#de003a,2020-02-18 13:48:15.000000,2020-02-18 13:48:49.778636,0 days 00:00:34.778636000,34.778636,222,0,58,cherry red
purple black,#560167,2020-02-18 13:48:43.000000,2020-02-18 13:48:49.840619,0 days 00:00:06.840619000,6.840619,86,1,103,purple black
deep-blue,#06036c,2020-02-18 13:48:12.000000,2020-02-18 13:48:50.853459,0 days 00:00:38.853459000,38.853459,6,3,108,deep blue
greenish blue,#47a8a8,2020-02-18 13:47:40.000000,2020-02-18 13:48:52.443815,0 days 00:01:12.443815000,72.443815,71,168,168,greenish blue
flavescens,#f5da13,2020-02-18 13:47:47.000000,2020-02-18 13:48:52.566501,0 days 00:01:05.566501000,65.566501,245,218,19,flavescens
green-yellow,#d0e003,2020-02-18 13:48:31.000000,2020-02-18 13:48:53.050900,0 days 00:00:22.050900000,22.0509,208,224,3,green yellow
dark-red,#870808,2020-02-18 13:48:31.000000,2020-02-18 13:48:54.370639,0 days 00:00:23.370639000,23.370639,135,8,8,dark red
purple red,#a53c60,2020-02-18 13:48:21.000000,2020-02-18 13:48:54.395927,0 days 00:00:33.395927000,33.395927,165,60,96,purple red
grass green,#2c5007,2020-02-18 13:48:43.000000,2020-02-18 13:48:55.040151,0 days 00:00:12.040151000,12.040151,44,80,7,grass green
violet red,#ef0c64,2020-02-18 13:46:17.000000,2020-02-18 13:48:56.108906,0 days 00:02:39.108906000,159.108906,239,12,100,violet red
deep purple,#4d1d67,2020-02-18 13:48:49.000000,2020-02-18 13:48:56.844611,0 days 00:00:07.844611000,7.844611,77,29,103,deep purple
pale green,#c3e2a8,2020-02-18 13:48:39.000000,2020-02-18 13:48:57.676055,0 days 00:00:18.676055000,18.676055,195,226,168,pale green
red-violet,#f00cc7,2020-02-18 13:48:32.000000,2020-02-18 13:49:01.262447,0 days 00:00:29.262447000,29.262447,240,12,199,red violet
rose,#e052db,2020-02-18 13:48:32.000000,2020-02-18 13:49:01.288650,0 days 00:00:29.288650000,29.28865,224,82,219,rose
purple,#7719dd,2020-02-18 13:48:41.000000,2020-02-18 13:49:02.112021,0 days 00:00:21.112021000,21.112021,119,25,221,purple
light-purple,#0d0017,2020-02-18 13:48:34.000000,2020-02-18 13:49:03.371097,0 days 00:00:29.371097000,29.371097,13,0,23,light purple
light-purple,#0d0017,2020-02-18 13:48:34.000000,2020-02-18 13:49:03.421092,0 days 00:00:29.421092000,29.421092,13,0,23,light purple
peach,#f07006,2020-02-18 13:48:49.000000,2020-02-18 13:49:04.218480,0 days 00:00:15.218480000,15.21848,240,112,6,peach
yellow,#f8ff1d,2020-02-18 13:48:46.000000,2020-02-18 13:49:04.252769,0 days 00:00:18.252769000,18.252769,248,255,29,yellow
deep red,#9d0314,2020-02-18 13:48:52.000000,2020-02-18 13:49:04.321375,0 days 00:00:12.321375000,12.321375,157,3,20,deep red
green blue,#78d7b9,2020-02-18 13:48:49.000000,2020-02-18 13:49:08.468399,0 days 00:00:19.468399000,19.468399,120,215,185,green blue
green,#35eb18,2020-02-18 13:49:01.000000,2020-02-18 13:49:09.710051,0 days 00:00:08.710051000,8.710051,53,235,24,green
amber,#b79740,2020-02-18 13:48:38.000000,2020-02-18 13:49:09.935260,0 days 00:00:31.935260000,31.93526,183,151,64,amber
lilac,#d014cb,2020-02-18 13:48:54.000000,2020-02-18 13:49:10.937314,0 days 00:00:16.937314000,16.937314,208,20,203,lilac
black-brown,#403030,2020-02-18 13:48:57.000000,2020-02-18 13:49:10.987208,0 days 00:00:13.987208000,13.987208,64,48,48,black brown
pink/purple,#c77ab9,2020-02-18 13:48:54.000000,2020-02-18 13:49:11.098073,0 days 00:00:17.098073000,17.098073,199,122,185,pink/purple
scarlet,#f00506,2020-02-18 13:49:01.000000,2020-02-18 13:49:11.342398,0 days 00:00:10.342398000,10.342398,240,5,6,scarlet
claybank,#f3d4a5,2020-02-18 13:48:56.000000,2020-02-18 13:49:12.320513,0 days 00:00:16.320513000,16.320513,243,212,165,claybank
yellowish white,#fff897,2020-02-18 13:48:52.000000,2020-02-18 13:49:13.187957,0 days 00:00:21.187957000,21.187957,255,248,151,yellowish white
amber,#ca223e,2020-02-18 13:49:04.000000,2020-02-18 13:49:14.278802,0 days 00:00:10.278802000,10.278802,202,34,62,amber
peach,#f98e5b,2020-02-18 13:48:05.000000,2020-02-18 13:49:14.552502,0 days 00:01:09.552502000,69.552502,249,142,91,peach
buff,#eecf52,2020-02-18 13:48:26.000000,2020-02-18 13:49:15.983562,0 days 00:00:49.983562000,49.983562,238,207,82,buff
yellow-orange,#86702e,2020-02-18 13:49:03.000000,2020-02-18 13:49:16.207541,0 days 00:00:13.207541000,13.207541,134,112,46,yellow orange
translucent,#978543,2020-02-18 13:49:16.000000,2020-02-18 13:49:17.986122,0 days 00:00:01.986122000,1.986122,151,133,67,translucent
light green,#aaef7f,2020-02-18 13:49:02.000000,2020-02-18 13:49:18.082503,0 days 00:00:16.082503000,16.082503,170,239,127,light green
dark blue,#0d076c,2020-02-18 13:48:50.000000,2020-02-18 13:49:19.032490,0 days 00:00:29.032490000,29.03249,13,7,108,dark blue
light yellow,#feffd1,2020-02-18 13:49:04.000000,2020-02-18 13:49:19.487786,0 days 00:00:15.487786000,15.487786,254,255,209,light yellow
gray,#949494,2020-02-18 13:49:08.000000,2020-02-18 13:49:22.121913,0 days 00:00:14.121913000,14.121913,148,148,148,gray
dark-violet,#62076f,2020-02-18 13:49:12.000000,2020-02-18 13:49:22.467405,0 days 00:00:10.467405000,10.467405,98,7,111,dark violet
navy blue,#4d389a,2020-02-18 13:49:11.000000,2020-02-18 13:49:24.584345,0 days 00:00:13.584345000,13.584345,77,56,154,navy blue
deep blue-black,#020138,2020-02-18 13:48:56.000000,2020-02-18 13:49:24.850785,0 days 00:00:28.850785000,28.850785,2,1,56,deep blue black
gray,#5b6060,2020-02-18 13:49:12.000000,2020-02-18 13:49:25.255984,0 days 00:00:13.255984000,13.255984,91,96,96,gray
black purple,#26001a,2020-02-18 13:48:45.000000,2020-02-18 13:49:25.265349,0 days 00:00:40.265349000,40.265349,38,0,26,black purple
magenta,#ab0355,2020-02-18 13:48:58.000000,2020-02-18 13:49:25.676901,0 days 00:00:27.676901000,27.676901,171,3,85,magenta
dark orange,#c45f09,2020-02-18 13:49:09.000000,2020-02-18 13:49:28.710697,0 days 00:00:19.710697000,19.710697,196,95,9,dark orange
deep red,#ff0000,2020-02-18 13:43:48.000000,2020-02-18 13:49:28.843559,0 days 00:05:40.843559000,340.843559,255,0,0,deep red
glaucous,#515d69,2020-02-18 13:49:17.000000,2020-02-18 13:49:28.925595,0 days 00:00:11.925595000,11.925595,81,93,105,glaucous
dark brown,#490f00,2020-02-18 13:49:19.000000,2020-02-18 13:49:30.726536,0 days 00:00:11.726536000,11.726536,73,15,0,dark brown
light-purple,#aa60c4,2020-02-18 13:49:13.000000,2020-02-18 13:49:32.043095,0 days 00:00:19.043095000,19.043095,170,96,196,light purple
black purple,#320464,2020-02-18 13:49:19.000000,2020-02-18 13:49:32.812534,0 days 00:00:13.812534000,13.812534,50,4,100,black purple
black-brown,#534645,2020-02-18 13:49:28.000000,2020-02-18 13:49:34.867339,0 days 00:00:06.867339000,6.867339,83,70,69,black brown
green/brown,#4f6b19,2020-02-18 13:49:22.000000,2020-02-18 13:49:37.520731,0 days 00:00:15.520731000,15.520731,79,107,25,green/brown
brown yellow,#a27103,2020-02-18 13:49:14.000000,2020-02-18 13:49:38.121678,0 days 00:00:24.121678000,24.121678,162,113,3,brown yellow
straw yellow,#f7e514,2020-02-18 13:48:34.000000,2020-02-18 13:49:39.318528,0 days 00:01:05.318528000,65.318528,247,229,20,straw yellow
brown,#744818,2020-02-18 13:49:25.000000,2020-02-18 13:49:39.625164,0 days 00:00:14.625164000,14.625164,116,72,24,brown
light colorless,#e1dcdc,2020-02-18 13:49:14.000000,2020-02-18 13:49:40.765822,0 days 00:00:26.765822000,26.765822,225,220,220,light colorless
grey,#a8a8a8,2020-02-18 13:49:30.000000,2020-02-18 13:49:40.913098,0 days 00:00:10.913098000,10.913098,168,168,168,grey
green-brown,#859685,2020-02-18 13:49:22.000000,2020-02-18 13:49:42.814206,0 days 00:00:20.814206000,20.814206,133,150,133,green brown
brown yellow,#695201,2020-02-18 13:49:03.000000,2020-02-18 13:49:42.961797,0 days 00:00:39.961797000,39.961797,105,82,1,brown yellow
violet red,#c20659,2020-02-18 13:48:53.000000,2020-02-18 13:49:44.377139,0 days 00:00:51.377139000,51.377139,194,6,89,violet red
black green,#215003,2020-02-18 13:49:32.000000,2020-02-18 13:49:46.172889,0 days 00:00:14.172889000,14.172889,33,80,3,black green
ruby red,#db1328,2020-02-18 13:49:34.000000,2020-02-18 13:49:46.850192,0 days 00:00:12.850192000,12.850192,219,19,40,ruby red
dark purplish-red,#e31a32,2020-02-18 13:49:25.000000,2020-02-18 13:49:47.435026,0 days 00:00:22.435026000,22.435026,227,26,50,dark purplish red
yellowish green,#c5fd18,2020-02-18 13:49:38.000000,2020-02-18 13:49:48.705553,0 days 00:00:10.705553000,10.705553,197,253,24,yellowish green
green-yellow,#b5d719,2020-02-18 13:49:28.000000,2020-02-18 13:49:51.925622,0 days 00:00:23.925622000,23.925622,181,215,25,green yellow
crimson,#ca124a,2020-02-18 13:49:18.000000,2020-02-18 13:49:52.272778,0 days 00:00:34.272778000,34.272778,202,18,74,crimson
red-violet,#85367e,2020-02-18 13:49:21.000000,2020-02-18 13:49:52.991776,0 days 00:00:31.991776000,31.991776,133,54,126,red violet
white,#ffffff,2020-02-18 13:49:47.000000,2020-02-18 13:49:53.081036,0 days 00:00:06.081036000,6.081036,255,255,255,white
dark-blue,#0e02be,2020-02-18 13:49:39.000000,2020-02-18 13:49:53.208659,0 days 00:00:14.208659000,14.208659,14,2,190,dark blue
primrose yellow,#43C39E,2020-02-18 13:49:42.000000,2020-02-18 13:49:55.224219,0 days 00:00:13.224219000,13.224219,67,195,158,primrose yellow
dark turquiose,#006058,2020-02-18 13:49:32.000000,2020-02-18 13:49:57.549509,0 days 00:00:25.549509000,25.549509,0,96,88,dark turquiose
yellow green,#a7af1d,2020-02-18 13:49:30.000000,2020-02-18 13:49:58.708852,0 days 00:00:28.708852000,28.708852,167,175,29,yellow green
primrose yellow,#A0D81A,2020-02-18 13:49:53.000000,2020-02-18 13:49:59.435921,0 days 00:00:06.435921000,6.435921,160,216,26,primrose yellow
yellow,#fdff00,2020-02-18 13:49:39.000000,2020-02-18 13:50:00.479653,0 days 00:00:21.479653000,21.479653,253,255,0,yellow
dark purplish-red,#5e1829,2020-02-18 13:49:09.000000,2020-02-18 13:50:01.537905,0 days 00:00:52.537905000,52.537905,94,24,41,dark purplish red
yellowish yellow,#d2d072,2020-02-18 13:49:38.000000,2020-02-18 13:50:01.567289,0 days 00:00:23.567289000,23.567289,210,208,114,yellowish yellow
red-orange,#f83305,2020-02-18 13:49:51.000000,2020-02-18 13:50:02.022676,0 days 00:00:11.022676000,11.022676,248,51,5,red orange
black red,#660000,2020-02-18 13:49:44.000000,2020-02-18 13:50:02.660648,0 days 00:00:18.660648000,18.660648,102,0,0,black red
green,#0e940c,2020-02-18 13:49:53.000000,2020-02-18 13:50:03.941631,0 days 00:00:10.941631000,10.941631,14,148,12,green
pink-red,#B544A0,2020-02-18 13:49:59.000000,2020-02-18 13:50:04.314623,0 days 00:00:05.314623000,5.314623,181,68,160,pink red
aubergine,#485f29,2020-02-18 13:49:52.000000,2020-02-18 13:50:04.885150,0 days 00:00:12.885150000,12.88515,72,95,41,aubergine
yellowish,#c3b639,2020-02-18 13:49:43.000000,2020-02-18 13:50:07.225732,0 days 00:00:24.225732000,24.225732,195,182,57,yellowish
yellow-orange,#e68d10,2020-02-18 13:49:45.000000,2020-02-18 13:50:08.740309,0 days 00:00:23.740309000,23.740309,230,141,16,yellow orange
dull dark black,#232523,2020-02-18 13:47:47.000000,2020-02-18 13:50:10.451505,0 days 00:02:23.451505000,143.451505,35,37,35,dull dark black
pale yellow,#d7d478,2020-02-18 13:49:38.000000,2020-02-18 13:50:11.938625,0 days 00:00:33.938625000,33.938625,215,212,120,pale yellow
green blue,#21d299,2020-02-18 13:49:51.000000,2020-02-18 13:50:16.128014,0 days 00:00:25.128014000,25.128014,33,210,153,green blue
bright yellow,#eded08,2020-02-18 13:50:03.000000,2020-02-18 13:50:16.327653,0 days 00:00:13.327653000,13.327653,237,237,8,bright yellow
dark rose,#8a0044,2020-02-18 13:49:25.000000,2020-02-18 13:50:20.237569,0 days 00:00:55.237569000,55.237569,138,0,68,dark rose
glaucous,#929294,2020-02-18 13:49:11.000000,2020-02-18 13:50:20.384531,0 days 00:01:09.384531000,69.384531,146,146,148,glaucous
light pink,#9d4a86,2020-02-18 13:50:07.000000,2020-02-18 13:50:23.325130,0 days 00:00:16.325130000,16.32513,157,74,134,light pink
aquamarine,#0582b7,2020-02-18 13:50:08.000000,2020-02-18 13:50:23.822536,0 days 00:00:15.822536000,15.822536,5,130,183,aquamarine
dark purplish-red,#710038,2020-02-18 13:49:57.000000,2020-02-18 13:50:24.520788,0 days 00:00:27.520788000,27.520788,113,0,56,dark purplish red
light yellow,#ffeea4,2020-02-18 13:50:06.000000,2020-02-18 13:50:24.748590,0 days 00:00:18.748590000,18.74859,255,238,164,light yellow
beige,#fcbc74,2020-02-18 13:50:05.000000,2020-02-18 13:50:24.980391,0 days 00:00:19.980391000,19.980391,252,188,116,beige
violet-red,#aa247b,2020-02-18 13:49:58.000000,2020-02-18 13:50:28.032984,0 days 00:00:30.032984000,30.032984,170,36,123,violet red
yellow-orange,#edb927,2020-02-18 13:50:02.000000,2020-02-18 13:50:28.503101,0 days 00:00:26.503101000,26.503101,237,185,39,yellow orange
dark purple,#270841,2020-02-18 13:50:16.000000,2020-02-18 13:50:29.613917,0 days 00:00:13.613917000,13.613917,39,8,65,dark purple
rose,#ff4c73,2020-02-18 13:50:02.000000,2020-02-18 13:50:30.388815,0 days 00:00:28.388815000,28.388815,255,76,115,rose
aubergine,#620479,2020-02-18 13:50:23.000000,2020-02-18 13:50:30.526622,0 days 00:00:07.526622000,7.526622,98,4,121,aubergine
light colorless,#ffffff,2020-02-18 13:50:24.000000,2020-02-18 13:50:30.853652,0 days 00:00:06.853652000,6.853652,255,255,255,light colorless
aquamarine,#0579ef,2020-02-18 13:49:10.000000,2020-02-18 13:50:31.345000,0 days 00:01:21.345000000,81.345,5,121,239,aquamarine
reddish,#70202e,2020-02-18 13:50:26.000000,2020-02-18 13:50:35.511170,0 days 00:00:09.511170000,9.51117,112,32,46,reddish
purple black,#1d0449,2020-02-18 13:48:40.000000,2020-02-18 13:50:38.121072,0 days 00:01:58.121072000,118.121072,29,4,73,purple black
green,#0abf00,2020-02-18 13:50:30.000000,2020-02-18 13:50:38.207253,0 days 00:00:08.207253000,8.207253,10,191,0,green
red-orange,#df4002,2020-02-18 13:50:05.000000,2020-02-18 13:50:38.574668,0 days 00:00:33.574668000,33.574668,223,64,2,red orange
deep green,#055c06,2020-02-18 13:50:30.000000,2020-02-18 13:50:39.049337,0 days 00:00:09.049337000,9.049337,5,92,6,deep green
deep green,#176d00,2020-02-18 13:50:25.000000,2020-02-18 13:50:40.506855,0 days 00:00:15.506855000,15.506855,23,109,0,deep green
yellow green,#dcf313,2020-02-18 13:49:24.000000,2020-02-18 13:50:41.987517,0 days 00:01:17.987517000,77.987517,220,243,19,yellow green
pale straw,#d6cd6c,2020-02-18 13:49:00.000000,2020-02-18 13:50:44.025592,0 days 00:01:44.025592000,104.025592,214,205,108,pale straw
magenta,#7a8176,2020-02-18 13:50:35.000000,2020-02-18 13:50:44.756662,0 days 00:00:09.756662000,9.756662,122,129,118,magenta
